Seq,Name,m_Name,RAJ2000,DEJ2000,Sp,Mass,e_Mass,Rad,e_Rad,logg,e_logg,Teff,e_Teff,Remark,SimbadName
36,NSVS 06507557,s,01 58 23.87,+25 21 19.65,M3,0.2790,0.0450,0.4450,0.0240,4.587,0.084,3365,80,1,NSVS 06507557
37,V615 Per,p,02 19 01.57,+57 07 19.30,B7V,4.0750,0.0550,2.2920,0.1410,4.328,0.054,15000,500,***,V615 Per
38,V615 Per,s,02 19 01.57,+57 07 19.30,B7V,3.1780,0.0510,1.9040,0.0940,4.381,0.043,11000,500,**,V615 Per
39,V618 Per,p,02 19 11.78,+57 06 41.10,A2V,2.3320,0.0310,1.6360,0.0690,4.379,0.037,11000,1000,**,V618 Per
40,V618 Per,s,02 19 11.78,+57 06 41.10,,1.5580,0.0250,1.3180,0.0690,4.391,0.046,8000,1000,**,V618 Per
41,V505 Per,p,02 21 12.96,+54 30 36.28,F5V,1.2720,0.0010,1.2880,0.0140,4.323,0.009,6512,21,*,V505 Per
42,V505 Per,s,02 21 12.96,+54 30 36.28,F5V,1.2540,0.0010,1.2670,0.0140,4.331,0.010,6462,12,*,V505 Per
43,DN Cas,p,02 23 11.53,+60 49 50.14,B0V,19.0400,0.0700,7.2200,0.0600,4.001,0.007,32100,1000,*,DN Cas
44,DN Cas,s,02 23 11.53,+60 49 50.14,B1V,13.7300,0.0500,5.7900,0.0600,4.051,0.009,28020,1100,*,DN Cas
45,AG Ari,p,02 26 26.96,+12 53 55.81,A0V,2.1640,0.0700,2.2320,0.0230,4.076,0.017,10300,250,**,AG Ari
46,AG Ari,s,02 26 26.96,+12 53 55.81,A0V,2.1480,0.0700,2.0740,0.0220,4.137,0.017,9800,230,**,AG Ari
47,XY Cet,p,02 59 33.53,+03 31 03.27,A5V,1.7730,0.0160,1.8760,0.0350,4.141,0.017,7870,115,*,XY Cet
48,XY Cet,s,02 59 33.53,+03 31 03.27,A7V,1.6150,0.0140,1.7760,0.0290,4.148,0.015,7620,125,*,XY Cet
